#id	reaction=Discrete(reaction)
REACT118564	reaction
REACT118565	reaction
REACT118567	reaction
REACT118570	reaction
REACT118571	reaction
REACT118573	reaction
REACT118574	reaction
REACT118575	reaction
REACT118580	reaction
REACT118581	reaction
REACT118582	reaction
REACT118583	reaction
REACT118584	reaction
REACT118587	reaction
REACT118592	reaction
REACT118593	reaction
REACT118594	reaction
REACT118599	reaction
REACT1185	reaction
REACT118601	reaction
REACT118603	reaction
REACT118604	reaction
REACT118606	reaction
REACT118608	reaction
REACT118609	reaction
REACT118610	reaction
REACT118611	reaction
REACT118613	reaction
REACT118615	reaction
REACT118616	reaction
REACT118618	reaction
REACT118620	reaction
REACT118621	reaction
REACT118622	reaction
REACT118623	reaction
REACT118624	reaction
REACT118625	reaction
REACT118627	reaction
REACT118628	reaction
REACT118631	reaction
REACT118633	reaction
REACT118634	reaction
REACT118637	reaction
REACT118640	reaction
REACT118641	reaction
REACT118643	reaction
REACT118646	reaction
REACT118647	reaction
REACT118649	reaction
REACT118650	reaction
REACT118652	reaction
REACT118653	reaction
REACT118657	reaction
REACT118658	reaction
REACT118660	reaction
REACT118661	reaction
REACT118662	reaction
REACT118665	reaction
REACT118667	reaction
REACT118669	reaction
REACT118670	reaction
REACT118673	reaction
REACT118674	reaction
REACT118675	reaction
REACT118676	reaction
REACT118678	reaction
REACT118679	reaction
REACT118681	reaction
REACT118683	reaction
REACT118685	reaction
REACT118686	reaction
REACT118688	reaction
REACT118689	reaction
REACT118690	reaction
REACT118692	reaction
REACT118693	reaction
REACT118694	reaction
REACT118696	reaction
REACT118697	reaction
REACT118698	reaction
REACT1186	reaction
REACT118701	reaction
REACT118702	reaction
REACT118704	reaction
REACT118709	reaction
REACT118710	reaction
REACT118711	reaction
REACT118712	reaction
REACT118717	reaction
REACT118719	reaction
REACT118723	reaction
REACT118726	reaction
REACT118727	reaction
REACT118728	reaction
REACT118729	reaction
REACT118732	reaction
REACT118736	reaction
REACT118737	reaction
REACT118739	reaction
REACT118741	reaction
REACT118742	reaction
REACT118746	reaction
REACT118748	reaction
REACT118749	reaction
REACT118750	reaction
REACT118754	reaction
REACT118755	reaction
REACT118759	reaction
REACT118762	reaction
REACT118763	reaction
REACT118765	reaction
REACT118767	reaction
REACT118768	reaction
REACT118772	reaction
REACT118776	reaction
REACT118777	reaction
REACT118781	reaction
REACT118782	reaction
REACT118783	reaction
REACT118784	reaction
REACT118786	reaction
REACT118790	reaction
REACT118792	reaction
REACT118797	reaction
REACT118800	reaction
REACT118801	reaction
